Partlist

Exported from TiLDA Mk2 Prototype v0.1.sch at 18/01/2014 12:49:16

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                    Package                  Library           Sheet
L102     MH2029-300Y                 WE-CBF_0805               WUERTH-0805              TiLDA Mk2 Parts   1
L103     MH2029-300Y                 WE-CBF_0805               WUERTH-0805              TiLDA Mk2 Parts   1
L105     MH2029-300Y                 WE-CBF_0805               WUERTH-0805              TiLDA Mk2 Parts   1
LED1     CLV1A-FKB                   LED-RGB_CLV1A-FKB         LED-RGB_CLV1A-FKB        TiLDA Mk2 Parts   1
LED2     CLV1A-FKB                   LED-RGB_CLV1A-FKB         LED-RGB_CLV1A-FKB        TiLDA Mk2 Parts   1
Q1       DMG2301U                    MOSFET-P-SOT23            SOT23-R                  TiLDA Mk2 Parts   1
Q2       2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q3       BSS84W                      MOSFET-P-SC70-3           SC70-3-R                 TiLDA Mk2 Parts   1
Q4       2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q5       2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q6       2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q7       BSS84W                      MOSFET-P-SC70-3           SC70-3-R                 TiLDA Mk2 Parts   1
Q8       BSS84W                      MOSFET-P-SC70-3           SC70-3-R                 TiLDA Mk2 Parts   1
Q9       2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q10      2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q11      2N7002KW                    MOSFET-NSC70-3            SC70-3-R                 TiLDA Mk2 Parts   1
Q12      SI2333DS-T1-E3              MOSFET-P-SOT23            SOT23-R                  TiLDA Mk2 Parts   1
R1       0402/33K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R2       0402/33K/5%/(NP)            R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R3       0402/0R/5%/(NP)             R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R4       0402/20R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R5       0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R6       0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R7       0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R8       0402/1K/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R9       0402/2K/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R10      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R11      0402/2K/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R12      0402/100K/5%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
